Taxonmony Id	Rank	Name
44542	None	gambiae species complex
7165	species	Anopheles gambiae
5833	species	Plasmodium falciparum
5855	species	Plasmodium vivax
5820	genus	Plasmodium
93947	species	Anopheles aconitus
59163	species	Anopheles annularis
7173	species	Anopheles arabiensis
112267	species	Anopheles barbirostris
1518534	species	Anopheles coluzzii
7168	species	Anopheles dirus
1513311	species	Anopheles dissidens
62324	species	Anopheles funestus
138534	species	Anopheles hyrcanus
308710	species	Anopheles jamesii
74869	species	Anopheles maculatus
112268	species	Anopheles minimus
74871	species	Anopheles nivipes
123673	species	Anopheles pampanai
206113	species	Anopheles peditaeniatus
221566	species	Anopheles pharoensis
319534	species	Anopheles philippinensis
516961	species	Anopheles pseudojamesi
383384	species	Anopheles rampae
1513312	species	Anopheles saeungae
142886	species	Anopheles sawadwongporni
142887	species	Anopheles vagus
5821	species	Plasmodium berghei
5850	species	Plasmodium knowlesi
5858	species	Plasmodium malariae
36330	species	Plasmodium ovale
7174	genus	Culex
53527	subgenus	Culex
