Fail - Culex spp.,1,mosquito,Culex spp,genus,Culex,7174
Fail - Culex spp.,1,Mosquito,Culex spp,genus,Culex,53527
An. aconitus,1,Mosquito,Anopheles aconitus,species,Anopheles aconitus,93947
An. annularis,1,mosquito,Anopheles annularis,species,Anopheles annularis,59163
An. arabiensis,1,mosquito,Anopheles arabiensis,species,Anopheles arabiensis,7173
Anopheles arabiensis,30,mosquito,Anopheles arabiensis,species,Anopheles arabiensis,7173
An. barbirostris s.s.,6,mosquito,Anopheles barbirostris,species,Anopheles barbirostris,112267
An. barbirostris,6,mosquito,Anopheles barbirostris,species,Anopheles barbirostris,112267
An. coluzzii (M),22,mosquito,Anopheles coluzzii,species,Anopheles coluzzii,1518534
An. coluzzii (Mopti),11,mosquito,Anopheles coluzzii,species,Anopheles coluzzii,1518534
Anopheles coluzzii (Mopti),2,mosquito,Anopheles coluzzii,species,Anopheles coluzzii,1518534
Anopheles coluzzii,472,mosquito,Anopheles coluzzii,species,Anopheles coluzzii,1518534
An. dirus A,11,mosquito,Anopheles dirus s.s.,species,Anopheles dirus,7168
An. dissidens,1,mosquito,Anopheles dissidens,species,Anopheles dissidens,1513311
Anopheles funestus,47,mosquito,Anopheles funestus,species,Anopheles funestus,62324
Anopheles Funestus,47,mosquito,Anopheles funestus,species,Anopheles funestus,62324
An. gambiae (S),1,mosquito,Anopheles gambiae,species,Anopheles gambiae,7165
An. gambiae (Savanna),3,mosquito,Anopheles gambiae,species,Anopheles gambiae,7165
An. gambiae s.l.,7,mosquito,Anopheles gambiae s.l.,complex,Anopheles gambiae,44542
Anopheles gambiae sensu lato,1318,mosquito,Anopheles gambiae s.l.,complex,Anopheles gambiae,44542
An. gambiae Bamako,64,mosquito,Anopheles gambiae s.l.,Anopheles gambiae or Anophels coluzzi,Anopheles gambiae,44542
Anopheles gambiae,2618,mosquito,Anopheles gambiae s.l.,Anopheles gambiae or Anophels coluzzi,Anopheles gambiae,44542
An. hyrcanus,4,mosquito,Anopheles hyrcanus,species,Anopheles hyrcanus,138534
An. jamesii,1,mosquito,Anopheles jamesii,species,Anopheles jamesii,308710
An. maculatus,792,mosquito,Anopheles maculatus,species,Anopheles maculatus,74869
An. maculatus A,10,mosquito,Anopheles maculatus,species,Anopheles maculatus,74869
An. maculatus gr. (morph IDl),1,mosquito,Anopheles maculatus s.l,complex,Anopheles maculatus,74869
Anopheles merus,3,mosquito,Anopheles merus,species,Anopheles merus,30066
An. minimus A,3,mosquito,Anopheles minimus,species,Anopheles minimus,112268
An. minimus,3,mosquito,Anopheles minimus,species,Anopheles minimus,112268
An. nivipes,4,mosquito,Anopheles nivipes,species,Anopheles nivipes,74871
An. pampanai,1,mosquito,Anopheles pampanai,species,Anopheles pampanai,123673
An. peditaeniatus,1,mosquito,Anopheles peditaeniatus,species,Anopheles peditaeniatus,206113
Fail - A. Pharoensis,1,mosquito,Anopheles pharoensis,species,Anopheles pharoensis,221566
